_id,dob,lan,tweet_id,Checked
MumInLearning,8/3/2014,fr,MumInLearning/status/528275429720096768,
NatOhaBel,2/10/2014,fr,NatOhaBel/status/507866982885363712,
JulieStPierre1,24/09/2014,fr,JulieStPierre1/status/518362536484560896,
norkydee,17/07/2014,fr,dareljedid/status/490270635105714176,
hgudger3,17/02/2015,en,BenTwigger/status/567810783988686848,
putri_CMS,16/02/2015,en,putri_CMS/status/567369216257302529,
GenevieveTorri,7/2/2015,en,GenevieveTorri/status/567240269863452673,
DevannMariexo,28/01/2015,en,DevannMariexo/status/560492400435793921,
Jenniferanne_xo,27/01/2015,en,andiweimann/status/560121711698665472,
facemissing ,17/01/2015,en,David_J_Davies/status/556600337629716481,
xoxjacks,8/4/2015,en,xoxjacks/status/586031926785413120,
Kim_Kristyna,2/4/2014,en,Kim_Kristyna/status/583744808407138304,
TitaniaClaire,3/4/2015,en,TitaniaClaire/status/583595072446431232,
nicole___jayne,24/02/2015,en,nicole___jayne/status/583004881256087552,
adodds,31/3/2015,en,adodds/status/583003909607706625,
MackinAintCeezy,29/3/2015,en,MackinAintCeezy/status/582402460452593664,
heykarluh,16/3/2015,en,heykarluh/status/580839481374298113,
HeyIts_CeCe,24/3/2015,en,HeyIts_CeCe/status/580404216650461185,
MaadDaawg97,23/3/2015,en,MaadDaawg97/status/580245483710496768,
linnzizaorski,19/3/2015,en,linnzizaorski/status/580125788273545216,
chelllrobinson,22/3/2015,en,chelllrobinson/status/580021737842147328,
smallnfeistyyy,22/3/2015,en,smallnfeistyyy/status/579659661399474176,
misszoeharris,21/3/2015,en,misszoeharris/status/579257523749986304,
JORIEGA,20/3/2015,en,WilliamLansky/status/579030295770501120,
rian_cheyene18,15/3/2015,en,rian_cheyene18/status/577040646726275072,
purple_lover191,16/02/2015,en,purple_lover191/status/576773561001578496,
shardea_nicole,14/2/2015,en,shardea_nicole/status/576648768105373696,
maganaalesley,10/3/2015,en,maganaalesley/status/575464993358905345,
dearsanai_,10/3/2015,en,ayyee_ceee_/status/575289069158203392,
PapillonReverie,7/3/2015,en,PapillonReverie/status/574909426026545152,
shaaay____,25/3/2014,en,shaaay____/status/580744089357959168,
ShanekaLStanley,26/2/2014,en,ShanekaLStanley/status/571001913510105088,
ps_imKY,25/2/2015,en,ps_imKY/status/570838995317481472,
dexianicole,25/2/2015,en,dexianicole/status/570728694043570176,
barahlin,28/3/2015,en,hakonatli/status/581839789265166336,
TiredFairy,18/3/2015,en,shift9/status/578224519816437760,
ruthoporter,9/3/2015,en,ruthoporter/status/575729207466131456,
GenEdwards,18/2/2015,en,GenEdwards/status/573054598983880704,
1amandawilson,10/3/2015,en,1amandawilson/status/576775922881298432,
CassSchumacher,9/4/2015,en,Lumacas/status/586086898822701056,
annamaki,2/4/2015,en,annamaki/status/586284425253650433,
SineadBeth,8/4/2015,fr,SineadBeth/status/586428901036916736,
JelenaRisticNDF,22/10/2014,en,DjokerNole/status/524824813723213824,
ali_wilhelmsson,25/2/2015,en,miskaw/status/570790764575395841,
emmaway123,3/4/2015,en,emmaway123/status/584424802833825792,
Aleta_Pardalis,,,,
Amy_Lou_Who24,,,,
Asen_Chi_Own,,,,
Ifellforhimhard,,,,
AsvrilaRhmnila,,,,
Betzha_,,,,
Brittany22870,,,,
CharlieCW,,,,
DRINADRIN,,,,
DalenFlynn,,,,
Delii_Nolove,,,,
GarMannL,,,,
GeeGeeWong,,,,
GenevaDabu,,,,
IfyisSpiffy,,,,
JamilahMusic,,,,
KatieGinga,,,,
LaSharaMcDonald,,,,
LeggoMyMeggoYo,,,,
MartinaMelluso,,,,
MissMuliru,,,,
MrsLyndseyWard,,,,
RealHubbard,,,,
SerenaJojo,,,,
StacyJCarlson,,,,
TeresaFCG,,,,
WMarquia,,,,
WendyCOrtiz,,,,
XpressoReads,,,,
alllfyalff,,,,
athikav,,,,
aylaysa,,,,
badpunkigirl,,,,
isabel_caba,,,,
misslanta,,,,
pamelasantis_,,,,
ritikabajaj24,,,,
safkelebek,,,,
sitinurhidayu16,,,,
tbenas,,,,
townboylrh,,,,
Sharry_Myles,,,,
xamyroberts,,,,
J_Beagley,,,,
SamanthaJay92,,,,
aimee286,,,,
sible2109,,,,
missboyer88,,,,
GallulaRoma,,,,
Ruth_Hopkins,,,,
Shannon96_TW,,,,
threehourssleep,,,,
JadeMarie_574,,,,
Lewis98Courtney,,,,
NatalieYoung_,,,,
sarasansdiary,,,,
LadyFillets,,,,
CharJackson_xx,,,,
ambatremain,,,,
rara_ooo_lala,,,,
Louise_Sx,,,,
joumy2000,,,,
kellylisajones,,,,
marienakagawa,,,,
EmmaaVictoriax,,,,
ourseasidebaby,,,,
graceandmeblogs,,,,
KnottBumpAndUs,,,,
PaulinaCbrr,,,,
emmamozzers,,,,
LilyStroud,,,,
Sayantini_Bh,,,,
emmaaSCHO,,,,
yusjulie86,,,,
HannahRJacko,,,,
weeduff,,,,
BeaCreativeBex,,,,
AshleaJSmith,,,,
Donna_Lou85,,,,
jax_d,,,,
Hanneboxes,,,,
thelaurawright,,,,
Jacqueline_Gold,,,,
Isla_Haslam,,,,
hannah1249,,,,
Alison_Doyle,,,,
Jayna26Patel,,,,
loobylou1989,,,,
LovePx1,,,,
zakiyaarfi,,,,
miss_p1986,,,,
skateybiscuit,,,,
FaminaB,,,,
HannahArfan,,,,
_GemSmith_,,,,
LoulabelleCDF,,,,
xxLproc87xx,,,,
TeaEnvyWBlack,,,,
melissa_x_o,,,,
